Brief description,Notes,Loss of value from Industrial-1 as proportion of loss of value from Preindustrial-1,Loss of value of reverting to Preindustrial-1 as as proportion of loss of value of extinction,Loss of value of reverting to Industrial-1 as proportion of loss of value of extinction,Absolute loss of expected value from transitioning to Preindustrial-1,Absolute loss of expected value from transitioning to Industrial-1,perils-0,multiplanetary-0,preindustrial-1,industrial-1,perils-1,multiplanetary-1,preindustrial-2,industrial-2,perils-2,multiplanetary-2,preindustrial-3,industrial-3,perils-3,multiplanetary-3,preindustrial-4,industrial-4,perils-4,multiplanetary-4,preindustrial-5,industrial-5,perils-5,multiplanetary-5,preindustrial-6,industrial-6,perils-6,multiplanetary-6,preindustrial-7,industrial-7,perils-7,multiplanetary-7,preindustrial-8,industrial-8,perils-8,multiplanetary-8,preindustrial-9,industrial-9,perils-9,multiplanetary-9,MAX_PLANETS,MAX_CIVILISATIONS,MAX_PROGRESS_YEARS,perils_current_progress_year,perils_extinction_y_scale,perils_extinction_base_x_scale,perils_extinction_stretch_per_reboot,perils_extinction_per_civilisation_background_risk_numerator,perils_extinction_x_translation,perils_extinction_sharpness,perils_extinction_base_background_risk_denominator,perils_preindustrial_y_scale,perils_preindustrial_base_x_scale,perils_preindustrial_stretch_per_reboot,perils_preindustrial_per_civilisation_background_risk_numerator,perils_preindustrial_x_translation,perils_preindustrial_sharpness,perils_preindustrial_base_background_risk_denominator,perils_industrial_y_scale,perils_industrial_base_x_scale,perils_industrial_stretch_per_reboot,perils_industrial_per_civilisation_background_risk_numerator,perils_industrial_x_translation,perils_industrial_sharpness,perils_industrial_base_background_risk_denominator,perils_progress_year_n_algorithm,perils_progress_year_n_geometric_base,perils_progress_year_n_any_regression,perils_multiplanetary_base_x_scale,perils_multiplanetary_x_translation,perils_multiplanetary_y_scale,perils_multiplanetary_sharpness,perils_multiplanetary_scale_per_reboot,perils_multiplanetary_per_civilisation_background_risk_numerator,perils_multiplanetary_base_background_risk_denominator,perils_interstellar_y_scale,perils_interstellar_base_x_scale,perils_interstellar_x_translation,perils_interstellar_sharpness,perils_interstellar_stretch_per_reboot,perils_interstellar_per_civilisation_background_risk_numerator,perils_interstellar_base_background_risk_denominator,multiplanetary_extinction_two_planet_risk,multiplanetary_extinction_decay_rate,multiplanetary_extinction_min_risk,multiplanetary_extinction_x_translation,multiplanetary_preindustrial_two_planet_risk,multiplanetary_preindustrial_decay_rate,multiplanetary_preindustrial_min_risk,multiplanetary_preindustrial_x_translation,multiplanetary_industrial_two_planet_risk,multiplanetary_industrial_decay_rate,multiplanetary_industrial_min_risk,multiplanetary_industrial_x_translation,multiplanetary_n_planets_two_planet_risk,multiplanetary_n_planets_decay_rate,multiplanetary_n_planets_x_translation,multiplanetary_n_planets_min_risk,multiplanetary_n_planets_geometric_base,multiplanetary_perils,multiplanetary_interstellar_x_scale,multiplanetary_interstellar_y_scale,multiplanetary_interstellar_x_translation,multiplanetary_interstellar_sharpness,preperils_preindustrial_base_expected_time_in_years,preperils_preindustrial_extinction_probability_per_year_denominator,preperils_preindustrial_stretch_per_reboot,preperils_industrial_base_annual_extinction_probability_denominator,preperils_industrial_annual_extinction_probability_multiplier,preperils_industrial_base_expected_time_in_years,preperils_industrial_stretch_per_reboot,,,,,,,,,,,,,,,,,,,,
Sasha’s original defaults but assuming we regressed to ~1945 level technology (the beginning of the time of perils),The only difference in output from the first entry should be transitional probability from perils-0,0.02691128597,0.1559568062,0.00419699821,0.1090152591,0.002933740814,0.6990093078,0.7222248635,0.5899940487,0.696075567,0.6982126813,0.7194952939,0.5760436935,0.6852588029,0.6880795051,0.7134046784,0.551528595,0.661815891,0.6654688779,0.7000113416,0.5047448909,0.6112228003,0.615747837,0.6704830461,0.4099054956,0.5011500017,0.5061278362,0.6114114084,0.2292067673,0.2830581286,0.2868319755,0.5483199431,0.04141475059,0.05168751525,0.0526130217,0.5353676211,0.003504696066,0.004422751069,0.004529191326,0.5342373838,0.0002528956106,0.0003228758283,0.0003333306753,0.5341475947,20,10,4000,0,0.00035,118,3.5,1.05,15,2.5,184000,0.0009,20,3.5,1.05,10,2,87000,0.0015,69,3.5,1.05,0,2,61000,exponential,1.4,0.026,66,80,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s original defaults with linear perils algorithm assuming we regressed to ~1945 level technology (the beginning of the time of perils),The only difference in output from the second entry should be transitional probability from perils-0,0.4157679374,0.2353314362,0.09784326582,0.1460346545,0.06071652708,0.6205488602,0.6854124016,0.4745142057,0.5598323331,0.5615511489,0.6530270902,0.3694665969,0.4395156838,0.4413248439,0.5985066808,0.1980165894,0.2376132928,0.2389248332,0.5455013481,0.03455094396,0.04183960075,0.04214934988,0.5351205315,0.002925227078,0.003576379363,0.003611902907,0.5342235804,0.0002254152549,0.000278375813,0.0002820872333,0.5341534922,1.72E-05,2.15E-05,2.19E-05,0.534148051,1.31E-06,1.65E-06,1.69E-06,0.5341476282,9.44E-08,1.21E-07,1.24E-07,0.5341475947,20,10,4000,0,0.00035,118,3.5,1.05,15,2.5,184000,0.0009,20,3.5,1.05,10,2,87000,0.0015,69,3.5,1.05,0,2,61000,linear,,0.026,66,80,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s original defaults assuming we were two years ahead technologically (e.g. Covid hadn't happened),The only difference in output from the first entry should be transitional probability from perils-0,0.0821234194,0.1638012845,0.01345192159,0.1155727475,0.009491229218,0.7055667962,0.7222248635,0.5899940487,0.696075567,0.6982126813,0.7194952939,0.5760436935,0.6852588029,0.6880795051,0.7134046784,0.551528595,0.661815891,0.6654688779,0.7000113416,0.5047448909,0.6112228003,0.615747837,0.6704830461,0.4099054956,0.5011500017,0.5061278362,0.6114114084,0.2292067673,0.2830581286,0.2868319755,0.5483199431,0.04141475059,0.05168751525,0.0526130217,0.5353676211,0.003504696066,0.004422751069,0.004529191326,0.5342373838,0.0002528956106,0.0003228758283,0.0003333306753,0.5341475947,20,10,4000,72,0.00035,118,3.5,1.05,15,2.5,184000,0.0009,20,3.5,1.05,10,2,87000,0.0015,69,3.5,1.05,0,2,61000,exponential,1.4,0.026,66,80,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s original defaults with linear perils algorithm assuming we were two years ahead technologically (e.g. Covid hadn't happened),The only difference in output from the second entry should be transitional probability from perils-0,0.4680743816,0.2526264907,0.1182479884,0.1603948455,0.07507671814,0.6349090512,0.6854124016,0.4745142057,0.5598323331,0.5615511489,0.6530270902,0.3694665969,0.4395156838,0.4413248439,0.5985066808,0.1980165894,0.2376132928,0.2389248332,0.5455013481,0.03455094396,0.04183960075,0.04214934988,0.5351205315,0.002925227078,0.003576379363,0.003611902907,0.5342235804,0.0002254152549,0.000278375813,0.0002820872333,0.5341534922,1.72E-05,2.15E-05,2.19E-05,0.534148051,1.31E-06,1.65E-06,1.69E-06,0.5341476282,9.44E-08,1.21E-07,1.24E-07,0.5341475947,20,10,4000,72,0.00035,118,3.5,1.05,15,2.5,184000,0.0009,20,3.5,1.05,10,2,87000,0.0015,69,3.5,1.05,0,2,61000,linear,,0.026,66,80,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s original defaults except with both extinction and multiplanetary timelines extended 10-fold,a first approximation of differential technological progress,0.7876975436,0.4585549951,0.3612026432,0.2146825856,0.1691049453,0.4681719486,0.6149544896,0.253489363,0.2990670033,0.2999852087,0.5800724108,0.1427301274,0.1697910721,0.170489976,0.5589007343,0.07615913448,0.09138841739,0.09189284877,0.5473207117,0.04008750348,0.04854411917,0.04890350354,0.5403911874,0.01877195501,0.02295057126,0.02317853523,0.5357775843,0.004835441717,0.005971512531,0.006051127181,0.5343044618,0.0004584005549,0.0005721049949,0.000582348994,0.5341598788,3.53E-05,4.45E-05,4.56E-05,0.5341484926,2.53E-06,3.23E-06,3.33E-06,0.5341475947,20,10,4000,70,0.00035,1180,3.5,1.05,15,2.5,184000,0.0009,20,3.5,1.05,10,2,87000,0.0015,69,3.5,1.05,0,2,61000,exponential,1.4,0.026,660,80,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s original defaults with a 1.0001x multiplier on all tech development to represent extra burden of disease from Covid,,0.07919862231,0.1633808193,0.0129395358,0.1152158237,0.009124934506,0.7051979799,0.7222242398,0.5899821561,0.6960730453,0.6982103659,0.7194944343,0.5760307845,0.6852553432,0.6880763138,0.7134034667,0.5515145095,0.6618110531,0.6654643797,0.7000093896,0.5047289173,0.611215156,0.6157405904,0.6704795075,0.4098862133,0.5011364989,0.5061146995,0.6114053559,0.2291836721,0.28303558,0.2868095061,0.5483174327,0.04140642363,0.05167826789,0.05260370212,0.5353673786,0.003503909712,0.004421861607,0.004528291227,0.5342373659,0.0002528380812,0.0003228102654,0.0003332640515,0.5341475947,20,10,4000,70,0.00035,118.0118,3.5,1.05,15,2.5,184000,0.0009,20.002,3.5,1.05,10,2,87000,0.0015,69.0069,3.5,1.05,0,2,61000,exponential,1.4,0.026,66.0066,80,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13701.37,87000,1.05,87000,0.7,381.0381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s original defaults with linear perils algorithm and a 1.0001x multiplier on all tech development to represent extra burden of disease from Covid,,0.4648185317,0.2514965156,0.1169002411,0.1594311721,0.07410656335,0.6339299443,0.6854100291,0.4744987722,0.559823381,0.5615423414,0.6530233858,0.369448518,0.4395018076,0.4413110918,0.5985014093,0.1979966518,0.2375936996,0.2389052633,0.5454993111,0.0345440586,0.04183206359,0.04214178801,0.5351203378,0.002924583122,0.003575663926,0.003611183934,0.5342235651,0.0002253649921,0.0002783196144,0.000282030659,0.534153491,1.72E-05,2.15E-05,2.19E-05,0.5341480509,1.31E-06,1.65E-06,1.69E-06,0.5341476282,9.44E-08,1.21E-07,1.24E-07,0.5341475947,20,10,4000,70,0.00035,118.0118,3.5,1.05,15,2.5,184000,0.0009,20.002,3.5,1.05,10,2,87000,0.0015,69.0069,3.5,1.05,0,2,61000,linear,,0.026,66.0066,80,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13701.37,87000,1.05,87000,0.7,381.0381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults with max 4000 progress years,,0.08648274836,0.1644544006,0.01422246854,0.1158232203,0.01001671041,0.7042877531,0.7217372872,0.5884645329,0.6942710427,0.6964026167,0.7140623675,0.559158655,0.6651724424,0.667910464,0.6967757448,0.5003655826,0.6004219851,0.6037360997,0.6647086914,0.3973143483,0.4811293644,0.4846912866,0.6167194436,0.2482601135,0.3035225379,0.3065373736,0.5643071854,0.089469856,0.1104904986,0.1119636032,0.5393718523,0.0152664415,0.01905322178,0.01939438501,0.5347066263,0.001605896459,0.002026560976,0.002075333259,0.5341933762,0.0001289459743,0.0001646273661,0.0001699580653,0.5341475947,20,10,4000,70,0.00035,90,3.5,1.05,15,6,184000,0.0009,75,3.5,1.05,5,0.9,87000,0.0015,85,3.5,1.05,0,0.9,61000,exponential,1.4,0.026,90,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults with max 3000 progress years,,0.09235223243,0.1653420401,0.01526970651,0.1163841296,0.01074833419,0.7038991991,0.7214346189,0.5875150696,0.693150865,0.6952789997,0.7132741459,0.5567089346,0.6622582669,0.6649842929,0.6948072814,0.4943091199,0.5931544322,0.5964284325,0.6602528963,0.3837547861,0.4647093595,0.4681497202,0.6079719474,0.2219599345,0.2713679684,0.2740634185,0.5564716659,0.06622541593,0.08178485529,0.08287524447,0.5374985327,0.009792185251,0.01222109797,0.01243992654,0.5344830351,0.0009635994072,0.001216014236,0.001245279475,0.5341744146,7.55E-05,9.64E-05,9.96E-05,0.5341475947,20,10,3000,70,0.00035,90,3.5,1.05,15,6,184000,0.0009,75,3.5,1.05,5,0.9,87000,0.0015,85,3.5,1.05,0,0.9,61000,exponential,1.4,0.026,90,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Testing effect of setting sharpness=3 throughout,,0.02275682359,0.1553968304,0.003536338256,0.1087518638,0.002474846978,0.6998332171,0.7215651748,0.5910813534,0.6973583701,0.6994994229,0.7178988514,0.5742317067,0.6831032721,0.6859151016,0.7037474508,0.5250183432,0.6300044744,0.6334818737,0.6635695865,0.3972529526,0.481055017,0.4846163888,0.5694188753,0.1099603769,0.1344374342,0.1357727775,0.5338616917,0.003218494977,0.003974669578,0.0040276615,0.5327985626,6.97E-05,8.7E-05,8.86E-05,0.5327751769,1.51E-06,1.9E-06,1.95E-06,0.5327746624,3.21E-08,4.1E-08,4.23E-08,0.532774651,20,10,3000,70,0.00035,90,3.5,1.05,15,3,184000,0.0009,75,3.5,1.05,5,3,87000,0.0015,85,3.5,1.05,0,3,61000,exponential,1.4,0.026,90,70,0.07,3,3.5,0,1,0,118,15,3,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,3,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults with linear perils algorithms and max 4000 progress years,,0.6080720215,0.3144864173,0.1912303915,0.1934842191,0.1176523402,0.6152387144,0.6685937536,0.4217544953,0.4975863742,0.4991140804,0.6150638806,0.2514804145,0.2991598897,0.300391309,0.5603277598,0.08054972995,0.09665698529,0.09719049727,0.5386303443,0.01364158843,0.01651933488,0.01664163168,0.5346515229,0.001515108079,0.001852369448,0.001870768706,0.5341927202,0.0001338669509,0.0001653185421,0.0001675226366,0.5341512706,1.07E-05,1.34E-05,1.36E-05,0.5341478836,8.3E-07,1.05E-06,1.07E-06,0.534147616,6.01E-08,7.67E-08,7.92E-08,0.5341475947,20,10,4000,70,0.00035,90,3.5,1.05,15,6,184000,0.0009,75,3.5,1.05,5,0.9,87000,0.0015,85,3.5,1.05,0,0.9,61000,linear,,0.026,90,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults with linear perils algorithms and max 3000 progress years,,0.6080720215,0.3144864173,0.1912303915,0.1934842191,0.1176523402,0.6152387144,0.6685937536,0.4217544953,0.4975863742,0.4991140804,0.6150638806,0.2514804145,0.2991598897,0.300391309,0.5603277598,0.08054972995,0.09665698529,0.09719049727,0.5386303443,0.01364158843,0.01651933488,0.01664163168,0.5346515229,0.001515108079,0.001852369448,0.001870768706,0.5341927202,0.0001338669509,0.0001653185421,0.0001675226366,0.5341512706,1.07E-05,1.34E-05,1.36E-05,0.5341478836,8.3E-07,1.05E-06,1.07E-06,0.534147616,6.01E-08,7.67E-08,7.92E-08,0.5341475947,20,10,3000,70,0.00035,90,3.5,1.05,15,6,184000,0.0009,75,3.5,1.05,5,0.9,87000,0.0015,85,3.5,1.05,0,0.9,61000,linear,,0.026,90,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha`s modified defaults with mean retrogression algorithm,,0.3926998181,0.2284344148,0.08970615315,0.1528269411,0.06001511197,0.6690189007,0.6986983629,0.5161919596,0.6090037888,0.6108735724,0.663714161,0.4026810352,0.4790274197,0.4809992203,0.604378205,0.2160817805,0.2592909187,0.2607221118,0.5532213616,0.05804394628,0.07028854381,0.07080890765,0.5368716814,0.008190225894,0.01001336104,0.01011282199,0.5344179806,0.000802112732,0.0009905664283,0.001003773066,0.5341704621,6.68E-05,8.34E-05,8.49E-05,0.5341494137,5.23E-06,6.59E-06,6.75E-06,0.5341477294,3.8E-07,4.85E-07,5E-07,0.5341475947,20,10,3000,70,0.00035,90,3.5,1.05,15,6,184000,0.0009,75,3.5,1.05,5,0.9,87000,0.0015,85,3.5,1.05,0,0.9,61000,1.4,mean,0.026,90,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults with maximally pessimistic values & linear algorithm,,0.5310395779,0.9809562561,0.5209265962,0.3960112757,0.2102976607,0.4036992203,0.5901614785,0.00768794458,0.1934015596,0.2079443425,0.5364223563,0.0002562562144,0.007574546227,0.008444760285,0.5341732484,2.31E-06,8.09E-05,9.52E-05,0.5341478432,1.73E-08,7.22E-07,9.23E-07,0.534147597,1.21E-10,6.08E-09,8.77E-09,0.5341475947,7.82E-13,4.8E-11,8.32E-11,0.5341475947,4.58E-15,3.45E-13,7.89E-13,0.5341475947,2.32E-17,2.17E-15,7.47E-15,0.5341475947,9.41E-20,1.1E-17,7.08E-17,0.5341475947,20,10,3000,70,0.004,90,10,1.05,15,6,28000,0.0009,75,10,1.05,5,0.9,14000,0.0015,85,10,1.05,0,0.9,9333,linear,,0.026,90,70,0.07,2,10,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,43000,14000,1.05,14000,0.7,1450,1.5,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults but assuming we regressed to ~1945 level technology (the beginning of the time of perils),,0.06154925037,0.1607875845,0.009896355294,0.1125640269,0.006928231472,0.7000790964,0.7214346189,0.5875150696,0.693150865,0.6952789997,0.7132741459,0.5567089346,0.6622582669,0.6649842929,0.6948072814,0.4943091199,0.5931544322,0.5964284325,0.6602528963,0.3837547861,0.4647093595,0.4681497202,0.6079719474,0.2219599345,0.2713679684,0.2740634185,0.5564716659,0.06622541593,0.08178485529,0.08287524447,0.5374985327,0.009792185251,0.01222109797,0.01243992654,0.5344830351,0.0009635994072,0.001216014236,0.001245279475,0.5341744146,7.55E-05,9.64E-05,9.96E-05,0.5341475947,20,10,3000,0,0.00035,90,3.5,1.05,15,6,184000,0.0009,75,3.5,1.05,5,0.9,87000,0.0015,85,3.5,1.05,0,0.9,61000,exponential,1.4,0.026,90,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults with a 2-progress-year regression and 1.0001x multiplier on all tech development to represent Covid,,0.09058018372,0.1650879989,0.01495370127,0.1161675918,0.01052248181,0.7036707248,0.7214339679,0.5875031329,0.693148243,0.6952765828,0.7132728402,0.556694983,0.6622531675,0.6649794457,0.6948049329,0.4942926113,0.593145435,0.5964197139,0.6602491784,0.3837358438,0.4646953158,0.4681359179,0.6079671701,0.2219408912,0.2713501396,0.2740456835,0.5564688535,0.06621558785,0.0817744438,0.08286480391,0.5374979662,0.009790295486,0.0122190102,0.01243782346,0.5344829716,0.0009633924328,0.00121578133,0.001245043925,0.5341744094,7.55E-05,9.64E-05,9.95E-05,0.5341475947,20,10,3000,68,0.00035,90.009,3.5,1.05,15,6,184000,0.0009,75.0075,3.5,1.05,5,0.9,87000,0.0015,85.0085,3.5,1.05,0,0.9,61000,exponential,1.4,0.026,90.009,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13701.37,87000,1.05,87000,0.7,381.0381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults with a linear algorithm and a 2-progress-year regression and 1.0001x multiplier on all tech development to represent Covid,,0.6062832976,0.3135289265,0.1900873514,0.1926178777,0.1167810021,0.6143544069,0.6685902905,0.4217365293,0.4975734049,0.4991012242,0.6150588303,0.2514602494,0.2991410948,0.3003725601,0.5603246684,0.08053870594,0.09664551862,0.0971790208,0.5386296319,0.01363914932,0.01651669737,0.01663898693,0.5346514305,0.001514798518,0.001852028201,0.001870425918,0.5341927114,0.0001338379124,0.000165286169,0.0001674900537,0.5341512698,1.07E-05,1.34E-05,1.36E-05,0.5341478835,8.3E-07,1.05E-06,1.07E-06,0.534147616,6.01E-08,7.67E-08,7.92E-08,0.5341475947,20,10,3000,68,0.00035,90.009,3.5,1.05,15,6,184000,0.0009,75.0075,3.5,1.05,5,0.9,87000,0.0015,85.0085,3.5,1.05,0,0.9,61000,linear,,0.026,90.009,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13701.37,87000,1.05,87000,0.7,381.0381,1.34,,,,,,,,,,,,,,,,,,,,
Sasha’s modified defaults except with most pessimistic prospects in times of perils,,-0.08539369923,0.142113303,-0.01213558065,0.08367329038,-0.007145171792,0.5887787323,0.6951642222,0.5051054419,0.5959239041,0.5977535294,0.6487063181,0.3560380325,0.4235411284,0.4252845331,0.5743792536,0.1237826137,0.1485350017,0.1493548618,0.5358045878,0.005042444889,0.006106168365,0.006151373871,0.5341684575,6.27E-05,7.67E-05,7.75E-05,0.5341478001,6.09E-07,7.53E-07,7.63E-07,0.5341475966,5.72E-09,7.13E-09,7.26E-09,0.5341475947,5.36E-11,6.76E-11,6.92E-11,0.5341475947,7.92E-13,1.01E-12,1.04E-12,0.5341475947,20,10,3000,70,0.004,90,10,1.05,15,6,184000,0.0009,75,10,1.05,5,0.9,87000,0.0015,85,10,1.05,0,0.9,61000,exponential,1.4,0.026,90,70,0.07,2,10,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
"Sasha’s modified defaults except with probability of preindustrial and industrial regressions set to 4/5 of eventual max by the time of the Cuban Missile Crisis, and with extinction risk also peaking much earlier",,0.3837094325,0.2258546695,0.08666256708,0.1506071658,0.05778939012,0.6668321984,0.6987089059,0.5162250326,0.6090428082,0.6109127116,0.6783732679,0.4482401986,0.533224381,0.5354192703,0.6519971099,0.3625930769,0.4350995803,0.4375011744,0.6242786527,0.2742804977,0.3321410417,0.3345999657,0.5950266135,0.1830385577,0.2237827365,0.2260055309,0.562943469,0.08542432685,0.105494486,0.1069009816,0.5387007903,0.01330544922,0.01660581314,0.01690315355,0.534528846,0.00109519756,0.001382084519,0.001415346493,0.5341756443,7.9E-05,0.0001008648275,0.0001041308704,0.5341475947,20,10,3000,70,0.00035,60,3.5,1.05,15,6,184000,0.0009,10.5,3.5,1.05,5,2,87000,0.0015,15,3.5,1.05,0,2,61000,exponential,1.4,0.026,90,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
"Sasha’s modified defaults except with linear algorithm and probability of preindustrial and industrial regressions set to 4/5 of eventual max by the time of the Cuban Missile Crisis, and with extinction risk also peaking much earlier",,0.8028168367,0.4769457608,0.3829000869,0.243507317,0.1954917739,0.5105555746,0.6192767702,0.2670482577,0.3150638007,0.31603112,0.5796294549,0.1413534609,0.1681533962,0.168845559,0.5566995953,0.06938678789,0.08326182769,0.0837214032,0.5403308076,0.01881631895,0.02278569504,0.02295438329,0.5347587785,0.001837582203,0.002246625952,0.002268941291,0.5341959701,0.0001435080322,0.000177224763,0.0001795875961,0.5341513539,1.1E-05,1.37E-05,1.4E-05,0.5341478856,8.36E-07,1.05E-06,1.08E-06,0.534147616,6.02E-08,7.69E-08,7.94E-08,0.5341475947,20,10,3000,70,0.00035,60,3.5,1.05,15,6,184000,0.0009,10.5,3.5,1.05,5,2,87000,0.0015,15,3.5,1.05,0,2,61000,linear,,0.026,90,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13700,87000,1.05,87000,0.7,381,1.34,,,,,,,,,,,,,,,,,,,,
"Sasha’s modified defaults except with linear algorithm and probability of preindustrial and industrial regressions set to 4/5 of eventual max by the time of the Cuban Missile Crisis, and with extinction risk also peaking much earlier and with standard Covid-representing tweaks",,0.8009553539,0.4746293092,0.3801568863,0.2412411923,0.1932234245,0.5082728512,0.6192729125,0.2670316589,0.3150494267,0.3160167987,0.5796269186,0.1413430663,0.16814395,0.1688361433,0.5566981415,0.06938101199,0.08325641452,0.08371600623,0.5403298595,0.01881305966,0.02278218425,0.02295086345,0.5347586585,0.001837182849,0.002246182845,0.002268496024,0.5341959604,0.0001434760676,0.0001771890277,0.0001795516222,0.5341513531,1.1E-05,1.37E-05,1.4E-05,0.5341478855,8.36E-07,1.05E-06,1.08E-06,0.534147616,6.02E-08,7.69E-08,7.93E-08,0.5341475947,20,10,3000,68,0.00035,60.006,3.5,1.05,15,6,184000,0.0009,10.50105,3.5,1.05,5,2,87000,0.0015,15.0015,3.5,1.05,0,2,61000,linear,,0.026,90.009,70,0.07,2,3.5,0,1,0,118,15,2,10,0,1,0.12,0.55,0,2,0,0,0,2,0,0,0,2,0.2,0.4,2,0,1.4,n/a,13,0.65,2,2,13701.37,87000,1.05,87000,0.7,381.0381,1.34,,,,,,,,,,,,,,,,,,,,
